date,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
2017-10-10,12,10,9,9,8,6,94,85,60,1029,1028,1026,31,13,10,18,10,-,1.02,жагъ
2017-10-11,17,11,6,9,6,1,100,74,25,1029,1027,1026,31,19,8,14,5,26,0,
2017-10-12,16,11,6,8,4,1,100,69,29,1029,1024,1020,31,15,3,18,6,35,0,жагъ
2017-10-13,20,11,3,8,6,2,100,72,27,1025,1023,1020,11,6,2,11,6,-,0,
2017-10-14,15,10,6,9,3,-2,94,60,22,1030,1028,1025,31,14,8,18,10,-,0.51,жагъ
2017-10-15,17,13,9,11,9,8,100,84,51,1031,1028,1026,10,7,2,14,6,-,0.25,жагъ
2017-10-16,18,13,8,10,5,-3,100,64,26,1034,1032,1030,27,9,2,14,8,-,0,
2017-10-17,17,12,8,12,9,7,100,81,54,1031,1029,1026,8,6,2,11,5,-,1.02,жагъ
2017-10-18,14,13,12,12,12,11,100,95,83,1026,1024,1022,5,3,2,11,5,-,2.03,жагъ
2017-10-19,19,14,10,12,11,9,100,85,58,1023,1021,1018,8,4,0,18,6,-,0,Юэ
2017-10-20,19,14,10,13,12,10,100,89,64,1021,1019,1017,6,3,0,11,5,-,0,Юэ
2017-10-21,19,14,9,13,9,3,100,74,35,1024,1022,1019,27,6,0,18,6,-,0,"Юэ , жагъ"
2017-10-22,14,11,8,10,8,4,94,79,43,1025,1024,1023,18,10,6,18,8,-,0,жагъ
2017-10-23,18,11,5,8,6,3,100,70,33,1027,1025,1024,26,10,5,14,6,-,0,
2017-10-24,18,11,4,9,7,4,100,80,43,1027,1025,1023,8,6,2,14,5,32,0,
2017-10-25,15,10,6,11,9,6,100,88,62,1026,1024,1022,5,3,2,11,3,-,0,
2017-10-26,16,12,8,12,10,8,100,91,61,1022,1019,1017,3,2,0,6,3,-,0,Юэ
2017-10-27,18,13,9,11,10,8,100,84,55,1019,1018,1016,4,2,0,11,5,-,0,Юэ
2017-10-28,15,9,4,11,-2,-12,100,51,11,1035,1026,1019,31,7,0,43,14,58,0,Юэ
2017-10-29,15,8,2,-5,-10,-13,52,24,7,1036,1033,1030,31,28,18,29,18,55,0,
2017-10-30,17,8,-1,1,-6,-11,93,44,8,1032,1028,1024,31,17,10,18,10,35,0,
2017-10-31,14,7,0,5,1,-2,100,70,28,1024,1020,1016,11,7,3,11,5,-,0,
2017-11-01,19,11,3,4,2,-5,100,63,14,1021,1019,1017,18,7,2,18,6,-,0,
2017-11-02,20,11,3,5,1,-8,93,53,10,1026,1017,1014,31,9,3,32,8,50,0,
2017-11-03,12,4,-2,3,-5,-11,93,52,12,1036,1032,1026,31,20,5,14,6,-,0,
2017-11-04,14,6,-3,2,-2,-6,100,66,24,1036,1031,1027,14,11,5,14,5,32,0,
2017-11-05,13,7,0,5,2,-1,100,80,37,1027,1023,1021,8,6,2,11,3,-,0,
2017-11-06,15,8,2,6,4,1,100,78,34,1021,1018,1016,5,4,2,11,6,-,0,
2017-11-07,20,11,3,6,-1,-9,100,55,6,1024,1020,1017,29,6,2,35,10,58,0,
2017-11-08,14,7,1,1,-2,-4,93,54,18,1028,1025,1023,31,20,8,14,8,29,0,
2017-11-09,13,7,2,7,4,0,93,76,48,1023,1019,1015,10,7,3,11,5,-,0,
2017-11-10,12,6,0,6,-9,-15,87,29,10,1031,1025,1017,31,29,23,55,24,76,0,
2017-11-11,9,3,-3,-3,-9,-12,86,43,14,1031,1026,1021,31,25,11,18,10,29,0,
2017-11-12,10,3,-3,-2,-4,-7,93,61,18,1020,1017,1014,14,9,5,14,5,26,0,
2017-11-13,12,4,-2,-2,-12,-19,93,34,5,1024,1018,1015,31,18,3,35,16,61,0,
2017-11-14,7,1,-5,-9,-16,-22,68,28,5,1027,1025,1022,31,24,6,32,16,55,0,
2017-11-15,6,-1,-7,-9,-14,-19,80,41,6,1028,1026,1024,31,23,8,14,6,-,0,
2017-11-16,8,1,-5,-6,-9,-13,80,48,14,1026,1022,1019,16,9,6,6,5,-,0,
2017-11-17,6,1,-3,-6,-16,-25,74,30,5,1037,1028,1020,31,23,10,40,19,55,0,
2017-11-18,5,-1,-6,-13,-19,-23,50,22,6,1037,1032,1027,31,22,8,40,21,58,0,
2017-11-19,5,-2,-8,-8,-11,-14,80,54,13,1031,1028,1026,8,7,3,14,5,-,0,
2017-11-20,10,1,-8,-6,-10,-14,86,51,8,1030,1027,1025,10,6,2,14,5,-,0,
2017-11-21,10,2,-6,-5,-8,-15,86,49,11,1025,1021,1017,24,6,3,40,8,58,0,
2017-11-22,8,3,-1,-11,-15,-21,44,24,6,1028,1025,1023,31,28,18,40,21,58,0,
2017-11-23,7,2,-2,-11,-17,-22,37,22,5,1028,1025,1021,31,28,23,43,16,64,0,
2017-11-24,7,3,-1,-12,-16,-19,37,23,6,1028,1024,1020,31,22,10,26,14,40,0,
2017-11-25,9,2,-5,-4,-8,-12,75,52,19,1024,1020,1017,24,12,6,14,5,21,0,
2017-11-26,4,0,-4,-4,-17,-21,80,28,7,1034,1030,1024,31,27,11,50,14,61,0,
2017-11-27,5,-1,-6,-4,-7,-12,93,64,33,1028,1021,1017,10,7,5,11,6,-,0,
2017-11-28,7,1,-5,-5,-14,-24,86,41,4,1035,1026,1017,31,14,3,40,14,61,0,
2017-11-29,1,-3,-8,-14,-20,-25,58,27,6,1038,1035,1033,31,26,11,18,8,26,0,
2017-11-30,4,-3,-10,-13,-17,-22,62,33,5,1037,1034,1031,31,20,10,26,13,50,0,
2017-12-01,6,-2,-10,-10,-13,-16,86,48,10,1032,1030,1026,10,6,3,21,6,-,0,
2017-12-02,6,-2,-9,-5,-9,-12,93,64,23,1026,1023,1020,8,5,2,6,3,-,0,
2017-12-03,6,0,-6,-7,-13,-20,93,38,7,1033,1028,1024,31,14,2,26,11,43,0,
2017-12-04,3,-1,-5,-16,-20,-23,40,22,8,1034,1031,1028,31,29,18,35,19,64,0,
2017-12-05,8,1,-6,-11,-15,-17,63,31,8,1029,1022,1018,27,14,6,32,11,47,0,
2017-12-06,10,1,-8,-10,-13,-16,80,35,7,1025,1021,1018,31,19,6,29,10,50,0,
2017-12-07,5,-1,-6,-9,-15,-18,63,31,10,1035,1030,1025,31,30,27,40,16,55,0,
2017-12-08,9,1,-6,-10,-14,-16,63,33,8,1034,1026,1022,31,16,8,29,11,47,0,
2017-12-09,10,2,-6,-8,-12,-15,74,39,10,1022,1016,1012,23,11,6,43,8,29,0,
2017-12-10,5,0,-4,-12,-17,-21,41,23,6,1026,1022,1017,31,27,14,40,23,55,0,
2017-12-11,0,-3,-6,-15,-21,-26,50,23,4,1035,1031,1026,31,30,29,26,14,-,0,
2017-12-12,-2,-6,-10,-16,-22,-25,62,29,6,1036,1034,1031,31,27,14,18,11,35,0,
2017-12-13,0,-6,-12,-13,-18,-22,67,41,8,1039,1037,1035,23,16,10,14,8,-,0,
2017-12-14,0,-2,-5,-7,-13,-18,71,46,17,1037,1033,1029,11,8,3,14,5,-,0,
2017-12-15,2,-2,-6,-6,-16,-22,81,38,7,1037,1033,1030,31,13,2,32,13,55,0,
2017-12-16,0,-4,-9,-16,-20,-24,53,26,6,1038,1036,1035,31,27,10,40,23,47,0,
2017-12-17,6,-3,-12,-13,-17,-21,79,40,6,1036,1030,1026,26,14,8,21,6,-,0,
2017-12-18,6,-2,-9,-12,-16,-20,73,33,7,1037,1030,1026,31,27,6,40,13,61,0,
2017-12-19,5,-2,-10,-12,-15,-17,68,38,10,1037,1033,1028,31,16,6,21,8,-,0,
2017-12-20,8,0,-8,-10,-12,-14,74,40,9,1032,1030,1028,31,21,6,26,10,47,0,
2017-12-21,9,0,-8,-8,-11,-13,80,49,12,1030,1026,1022,23,9,3,11,5,21,0,
2017-12-22,11,2,-7,-9,-13,-17,80,40,5,1027,1024,1021,31,14,3,26,10,43,0,
2017-12-23,6,-1,-7,-9,-12,-15,74,41,14,1026,1023,1020,14,9,6,11,5,-,0,
2017-12-24,6,2,-1,-10,-16,-23,48,24,7,1030,1024,1020,31,26,16,47,19,64,0,
2017-12-25,5,-2,-8,-13,-16,-21,58,32,8,1029,1026,1022,31,19,6,29,10,35,0,
2017-12-26,4,-1,-6,-7,-13,-18,74,38,14,1033,1031,1028,31,20,10,18,10,-,0,
2017-12-27,2,-3,-8,-5,-7,-10,93,73,41,1031,1028,1024,8,7,3,14,6,-,0,
2017-12-28,3,-3,-9,-3,-7,-11,93,73,46,1030,1028,1026,8,6,0,11,6,-,0,
2017-12-29,-2,-6,-10,-3,-6,-11,100,91,77,1033,1031,1028,5,2,0,11,3,-,0,"Юэ , жабЉ"
2017-12-30,7,1,-5,-2,-11,-21,100,57,6,1032,1029,1027,26,3,0,32,6,58,0,Юэ
2017-12-31,6,-2,-10,-11,-15,-19,73,42,8,1029,1026,1023,18,8,5,14,5,-,0,
