1,,500524.386,4359805.634,142.144
2,,500527.654,4359808.719,140.451
3,,500524.557,4359801.335,143.359
4,,500530.446,4359812.358,139.005
5,,500521.852,4359800.332,144.604
6,,500536.508,4359818.761,136.188
7,,500519.687,4359797.850,145.521
8,,500538.774,4359819.651,135.170
9,,500515.368,4359795.237,146.906
10,,500520.863,4359809.390,141.129
11,,500510.859,4359793.123,148.166
12,,500515.944,4359810.776,141.090
13,,500510.428,4359802.949,145.512
14,,500512.708,4359812.650,141.388
15,,500505.109,4359808.849,144.763
16,,500506.143,4359815.734,141.202
17,,500500.278,4359813.835,142.694
18,,500500.752,4359819.752,140.377
19,,500494.889,4359821.189,141.577
20,,500498.815,4359823.231,140.055
21,,500487.564,4359826.705,143.469
22,,500495.443,4359828.967,141.250
23,,500481.871,4359831.164,143.908
24,,500499.201,4359832.188,140.074
25,,500478.389,4359838.825,143.544
26,,500504.054,4359833.865,138.688
27,,500475.425,4359845.728,143.511
28,,500505.165,4359825.676,138.134
29,,500472.419,4359837.060,146.478
30,,500512.600,4359826.411,136.310
31,,500477.282,4359830.441,145.708
32,,500521.040,4359819.892,136.781
33,,500483.915,4359816.834,146.042
34,,500496.739,4359807.516,146.259
35,,500506.731,4359801.056,147.123
36,,500520.176,4359781.991,147.659
37,,500532.552,4359793.180,141.224
38,,500526.466,4359787.928,144.643
39,,500535.335,4359799.141,138.688
40,,500537.320,4359801.433,136.986
41,,500543.731,4359823.140,133.079
42,,500537.941,4359802.487,136.633
43,,500543.834,4359816.406,133.835
44,,500542.384,4359808.281,134.281
45,,500539.202,4359811.260,136.082
46,,500548.618,4359814.145,131.957
47,,500533.295,4359806.392,138.694
48,,500528.358,4359800.957,141.627
49,,500522.844,4359796.399,144.697
50,,500518.694,4359793.362,146.265
51,,500525.299,4359786.084,148.010
52,,500533.317,4359865.588,144.418
53,,500538.058,4359864.145,143.844
54,,500524.881,4359866.182,145.430
55,,500547.029,4359865.149,143.295
56,,500515.556,4359866.981,146.981
57,,500556.603,4359864.423,142.548
58,,500507.245,4359867.283,148.274
59,,500562.725,4359864.963,141.697
60,,500499.285,4359870.886,149.776
61,,500569.943,4359866.767,140.696
62,,500488.383,4359876.610,151.865
63,,500578.151,4359860.491,139.407
64,,500485.036,4359864.710,147.984
65,,500584.796,4359858.711,137.854
66,,500479.294,4359856.963,146.083
67,,500593.044,4359858.952,135.670
68,,500497.087,4359857.351,144.590
69,,500606.446,4359852.838,132.874
70,,500505.250,4359852.377,143.829
71,,500602.238,4359848.964,133.140
72,,500515.050,4359852.029,143.165
73,,500584.598,4359845.759,135.678
74,,500525.868,4359848.222,139.415
75,,500574.672,4359848.225,137.198
76,,500532.400,4359844.974,137.811
77,,500563.412,4359848.840,137.698
78,,500545.423,4359853.524,140.816
79,,500558.806,4359832.316,133.146
80,,500552.570,4359847.370,137.222
81,,500559.906,4359833.545,130.061
82,,500542.427,4359837.874,133.052
83,,500533.781,4359835.780,133.334
84,,500523.053,4359838.235,134.135
85,,500527.237,4359834.206,133.518
86,,500511.714,4359843.603,136.783
87,,500507.010,4359841.866,137.025
88,,500498.648,4359844.662,138.015
89,,500492.946,4359846.825,139.249
90,,500485.240,4359845.268,140.083
91,,500509.711,4359836.210,137.379
