500524.386	4359805.634
500527.654	4359808.719
500524.557	4359801.335
500530.446	4359812.358
500521.852	4359800.332
500536.508	4359818.761
500519.687	4359797.85
500538.774	4359819.651
500515.368	4359795.237
500520.863	4359809.39
500510.859	4359793.123
500515.944	4359810.776
500510.428	4359802.949
500512.708	4359812.65
500505.109	4359808.849
500506.143	4359815.734
500500.278	4359813.835
500500.752	4359819.752
500494.889	4359821.189
500498.815	4359823.231
500487.564	4359826.705
500495.443	4359828.967
500481.871	4359831.164
500499.201	4359832.188
500478.389	4359838.825
500504.054	4359833.865
500475.425	4359845.728
500505.165	4359825.676
500472.419	4359837.06
500512.6	4359826.411
500477.282	4359830.441
500521.04	4359819.892
500483.915	4359816.834
500496.739	4359807.516
500506.731	4359801.056
500520.176	4359781.991
500532.552	4359793.18
500526.466	4359787.928
500535.335	4359799.141
500537.32	4359801.433
500543.731	4359823.14
500537.941	4359802.487
500543.834	4359816.406
500542.384	4359808.281
500539.202	4359811.26
500548.618	4359814.145
500533.295	4359806.392
500528.358	4359800.957
500522.844	4359796.399
500518.694	4359793.362
500525.299	4359786.084
500533.317	4359865.588
500538.058	4359864.145
500524.881	4359866.182
500547.029	4359865.149
500515.556	4359866.981
500556.603	4359864.423
500507.245	4359867.283
500562.725	4359864.963
500499.285	4359870.886
500569.943	4359866.767
500488.383	4359876.61
500578.151	4359860.491
500485.036	4359864.71
500584.796	4359858.711
500479.294	4359856.963
500593.044	4359858.952
500497.087	4359857.351
500606.446	4359852.838
500505.25	4359852.377
500602.238	4359848.964
500515.05	4359852.029
500584.598	4359845.759
500525.868	4359848.222
500574.672	4359848.225
500532.4	4359844.974
500563.412	4359848.84
500545.423	4359853.524
500558.806	4359832.316
500552.57	4359847.37
500559.906	4359833.545
500542.427	4359837.874
500533.781	4359835.78
500523.053	4359838.235
500527.237	4359834.206
500511.714	4359843.603
500507.01	4359841.866
500498.648	4359844.662
500492.946	4359846.825
500485.24	4359845.268
500509.711	4359836.21
